,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
{0: [0]},0.0,-0.0001,-0.0001,-0.0002,-0.0,0.0,-0.0,-0.0,-0.0,-0.0002,-0.0001,-0.0002,0.0001,-0.0005,-0.0002,0.0002,-0.0,-0.0002,-0.0002,0.0001,0.0,-0.0002,-0.0002,0.0009,-0.0002,0.0006,-0.0004,-0.0001,-0.0001,0.0003,-0.0002,0.001,-0.0001,0.0002,0.0001,-0.0002,-0.0001,-0.0001,0.0001,-0.0001,-0.0,-0.0001,-0.0005,-0.0001,0.0001,0.0001,-0.0006,0.0001,0.0002,-0.0001,0.0001,0.0,0.0,-0.0002,-0.0001,-0.0001,0.0,-0.0002,0.0,-0.0004,0.0002,-0.0001,-0.0004,0.0,0.0002,-0.0,-0.0001,-0.0002,0.0003,0.0002,-0.0,0.0001,-0.0001,0.0001,-0.0001,-0.0002,0.0008,-0.0002,0.0,0.0001
{0: [1]},0.0001,-0.0002,-0.0002,-0.0003,0.0001,0.0001,0.0001,-0.0001,0.0005,-0.0,0.0,-0.0002,0.0,-0.0002,0.0,-0.0008,-0.0,-0.0,-0.0001,-0.0001,0.0,-0.0001,0.0002,-0.0005,0.0004,0.0,-0.0,-0.0001,0.0,0.0003,-0.0,-0.0016,0.0002,-0.0001,-0.0001,-0.0002,0.0001,0.0002,-0.0,-0.0002,0.0,-0.0007,0.0009,-0.0001,0.0,-0.0003,0.0,-0.0008,0.0001,-0.0004,-0.0004,-0.0002,0.0001,-0.0001,-0.0001,-0.0001,0.0002,-0.0001,-0.0001,-0.0002,-0.0019,-0.0001,-0.0,-0.0,0.0001,0.0001,-0.0001,-0.0003,0.0004,0.0002,-0.0,-0.0002,-0.0004,-0.0001,-0.0,-0.0001,0.0009,-0.0,0.0001,0.0002
{0: [2]},-0.001,0.0003,-0.0001,-0.0,-0.0002,0.0002,0.0,0.0009,-0.0015,-0.0004,-0.0003,-0.0,-0.0005,-0.0008,-0.0002,-0.0002,-0.0019,0.0005,-0.0003,-0.0001,-0.0001,-0.0005,0.0,0.0,-0.0021,-0.0014,0.0007,-0.0002,-0.0003,-0.0001,0.0,0.0005,-0.0011,0.0005,-0.0002,0.0,-0.001,-0.0005,0.0001,-0.0002,-0.0006,-0.0004,0.0003,-0.0001,0.0006,-0.0003,-0.0001,-0.0002,-0.0011,-0.0,-0.0001,-0.0002,0.0004,0.0,0.0003,-0.0,-0.0008,-0.0002,0.0,-0.0001,0.0005,0.0,-0.0003,0.0004,-0.0014,-0.0001,-0.0001,-0.0,-0.0013,0.0001,0.0001,0.0006,-0.0003,-0.0005,0.0003,0.0002,-0.0057,0.0,0.0004,0.0001
{0: [3]},0.0004,-0.0001,0.0001,0.0006,0.0001,0.0015,0.0006,-0.0001,-0.0002,-0.0001,-0.0002,0.0017,0.0,0.0037,0.0001,-0.0004,-0.0006,-0.0001,0.0001,0.0002,0.0002,0.0012,0.0004,-0.0001,-0.0003,-0.0001,-0.0003,0.0003,-0.0002,0.0048,0.0001,0.0002,-0.0,-0.0001,-0.0002,0.0003,0.0002,0.0033,0.0003,0.0002,0.0003,-0.0,-0.0013,0.0003,-0.0002,0.0023,0.001,-0.0004,-0.0,-0.0,0.0005,0.0007,0.0,-0.0002,0.0009,-0.0001,0.0001,-0.0001,0.0006,0.0008,0.0025,0.0006,0.0,0.0,0.0005,-0.0001,-0.0002,0.0005,-0.0011,0.001,-0.0002,-0.0001,-0.0001,0.0002,0.0002,0.0054,0.0008,0.0005,-0.0003,0.0003
{0: [4]},0.0,-0.0001,-0.0003,0.0001,0.0002,-0.0001,0.0,-0.0,-0.0002,-0.0001,-0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0005,-0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,-0.0004,0.0,-0.0001,-0.0,-0.0,0.0,-0.0005,0.0001,-0.0002,0.0001,0.0,0.0,0.0,0.0001,-0.0003,0.0002,0.0001,-0.0001,0.0001,0.0002,0.0,-0.0,0.0001,-0.0,-0.0003,-0.0,-0.0,0.0001,-0.0,0.0002,-0.0002,-0.0,0.0002,-0.0,-0.0,0.0,-0.0001,-0.0001,-0.0002,-0.0,0.0002,0.0001,0.0,0.0003,-0.0,0.0001,-0.0001,0.0001,0.0001,-0.0,0.0001,0.0,-0.0,-0.0001,0.0,0.0,0.0
{0: [5]},-0.0,0.0001,-0.0001,-0.0004,0.0001,-0.0,0.0,-0.0001,-0.0008,0.0003,-0.0002,-0.0005,-0.0004,0.0015,-0.0002,-0.0008,0.0002,0.0001,-0.0004,-0.0003,0.0003,0.0014,-0.0001,0.0006,-0.0031,-0.0031,0.0,-0.0011,-0.0004,0.0049,-0.0001,0.0003,-0.0001,0.0009,-0.0001,-0.0003,-0.0008,0.0011,0.0007,-0.0003,-0.0007,0.0005,0.0011,-0.0001,0.0,-0.0004,-0.0002,0.0004,-0.0004,0.0002,0.0003,-0.0001,0.0006,0.0002,-0.0003,0.0001,-0.0003,0.0005,-0.0002,-0.0003,0.0017,-0.0003,0.0,0.0003,-0.0004,-0.0001,-0.0001,-0.0001,-0.0013,0.0006,-0.0002,0.0001,0.0002,0.0003,0.0001,0.0002,-0.0009,0.0001,-0.0006,0.0008
{0: [6]},-0.0003,-0.0,-0.0005,0.0002,0.0003,0.0007,0.0,-0.0,-0.0012,-0.0,-0.0002,-0.0003,0.0002,0.0003,0.0,-0.0007,-0.0008,-0.0001,-0.0005,0.0002,0.0009,0.0002,0.0001,-0.0001,-0.0008,0.0003,-0.0007,-0.0005,0.0001,0.0011,-0.0001,-0.0013,-0.0005,0.0,-0.0002,-0.0002,0.0003,0.0008,0.0,-0.0,-0.0004,0.0,-0.0003,0.0004,0.0011,0.0012,-0.0001,-0.0003,-0.0001,-0.0001,-0.0004,-0.0004,0.0015,0.0002,-0.0,0.0,0.0001,0.0,-0.0002,-0.0002,-0.0008,0.0002,-0.0001,0.0003,-0.0008,-0.0001,-0.0003,-0.0002,0.0016,0.0004,-0.0001,0.0002,-0.0003,0.0,-0.0003,0.0001,0.0011,0.0003,-0.0001,0.0
{0: [7]},0.0001,-0.0001,0.0002,-0.0001,-0.0,0.0001,-0.0001,0.0,0.0002,0.0002,0.0001,-0.0001,0.0001,-0.0002,0.0,0.0003,0.0001,0.0001,0.0001,-0.0002,0.0001,-0.0001,0.0001,-0.0001,-0.0001,0.0001,0.0004,-0.0003,-0.0003,-0.0005,0.0,-0.0002,-0.0001,0.0001,0.0001,-0.0003,0.0,-0.0,0.0002,0.0001,0.0002,-0.0,-0.0001,0.0001,0.0,-0.0,-0.0001,-0.0002,-0.0001,-0.0002,0.0,-0.0,0.0001,-0.0002,-0.0001,-0.0001,0.0003,0.0001,0.0002,-0.0001,-0.0002,-0.0001,-0.0001,-0.0002,-0.0003,-0.0,0.0001,-0.0001,0.0,-0.0001,0.0001,-0.0005,-0.0001,0.0001,-0.0,-0.0002,0.0005,-0.0,0.0001,-0.0003
{0: [8]},0.0,0.0002,-0.0002,-0.0002,-0.0001,-0.0001,0.0,0.0002,0.0008,0.0,-0.0001,-0.0003,-0.0003,0.0004,0.0001,0.0084,-0.0003,-0.0001,-0.0003,-0.0004,-0.0003,-0.0006,0.0002,0.0043,0.0002,-0.0006,0.0005,-0.0004,-0.0002,-0.0006,0.0,0.0041,-0.0,-0.0002,-0.0002,-0.0005,-0.0004,0.0007,0.0001,0.0008,-0.0001,0.0,0.0004,-0.0003,0.0,0.0002,-0.0,-0.0018,-0.0001,-0.0002,-0.0003,-0.0003,0.0001,-0.0,-0.0001,0.0005,0.0001,0.0,-0.0001,-0.0002,-0.0001,0.0003,-0.0001,-0.0003,0.0002,-0.0,0.0001,-0.0001,-0.0002,-0.0001,-0.0,-0.0004,0.0001,0.0,-0.0001,-0.0002,-0.0007,-0.0,-0.0001,-0.0002
{0: [9]},0.0003,0.0007,0.0008,0.0005,0.0002,0.0006,-0.0,0.0006,-0.0006,-0.0002,-0.0003,0.0003,-0.001,0.0006,0.0,0.0001,0.0005,-0.0,-0.0003,0.0004,-0.0001,0.0015,0.0001,-0.0009,-0.0009,-0.0012,0.0021,-0.0,-0.0006,0.0021,0.0002,-0.0002,-0.0004,0.0002,-0.0006,0.0002,-0.0005,0.0007,0.0,-0.0002,0.0001,0.0014,0.0008,0.0013,0.0001,0.0013,-0.0003,-0.0012,0.0006,0.0004,0.0002,0.0005,-0.0003,0.0016,-0.0005,0.0004,0.0007,-0.0003,-0.0004,0.0011,0.008,0.0017,0.0002,0.001,-0.0015,0.0009,0.0001,0.0001,-0.0025,0.0015,-0.0001,0.0005,0.0003,0.001,0.0006,0.0006,-0.0005,0.0015,-0.0005,0.0004
